RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,PairedEnd,Source,Endedness
INH050503,INH050500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050504,INH050500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050601,INH050600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050602,INH050600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050603,INH050600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050604,INH050600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050701,INH050700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050702,INH050700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050703,INH050700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050704,INH050700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050801,INH050800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050802,INH050800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050803,INH050800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050804,INH050800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050901,INH050900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050902,INH050900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050903,INH050900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050904,INH050900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051001,INH051000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051002,INH051000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051003,INH051000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051004,INH051000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051101,INH051100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051102,INH051100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051103,INH051100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051104,INH051100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051201,INH051200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051202,INH051200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051203,INH051200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
